2019-05-21 15:46:32,253 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 3 to 2
2019-05-21 15:46:32,805 [Server thread] WARN Dungeons2 | RotatorRegistry.java:68 | The class has already been registered.
2019-05-21 15:46:33,963 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ -13 79 352
2019-06-09 11:10:28,089 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-06-09 11:10:28,202 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2019-06-09 11:10:28,802 [Client thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
2019-06-09 11:11:37,905 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:115 | Unable to locate closest player - using World spawn point
2019-06-09 11:11:38,097 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:388 | Unable to generate Level: 0
2019-06-09 11:16:12,997 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-06-09 11:16:13,070 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2019-06-09 11:16:13,661 [Client thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
2019-06-09 11:17:36,361 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:115 | Unable to locate closest player - using World spawn point
2019-06-09 11:17:37,297 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 3 to 2
2019-06-09 11:17:37,493 [Server thread] WARN Dungeons2 | RotatorRegistry.java:68 | The class has already been registered.
2019-06-09 11:17:38,011 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ 129 64 245
2019-06-09 15:42:40,917 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-06-09 15:42:40,986 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2019-06-09 15:42:41,488 [Client thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
